epoch,epoch_loss,split,loss,acc,sample_fn
60,0.55985373,val,0.79547644,0.7317073170731707,gumbel_soft
60,0.55985373,test,0.68810713,0.6486486486486487,gumbel_soft
61,0.54095006,train,0.5136148,0.7922077922077922,gumbel_soft
61,0.54095006,val,0.9196081,0.6097560975609756,gumbel_soft
61,0.54095006,test,0.8735987,0.5945945945945946,gumbel_soft
62,0.5006564,train,0.56327367,0.7792207792207793,gumbel_soft
62,0.5006564,val,1.0721776,0.6097560975609756,gumbel_soft
62,0.5006564,test,0.58386916,0.7297297297297297,gumbel_soft
63,0.53698343,train,0.48042217,0.7954545454545454,gumbel_soft
63,0.53698343,val,0.6968361,0.6585365853658537,gumbel_soft
63,0.53698343,test,0.6134459,0.7837837837837838,gumbel_soft
64,0.5209044,train,0.54005164,0.788961038961039,gumbel_soft
64,0.5209044,val,0.9461422,0.6341463414634146,gumbel_soft
64,0.5209044,test,0.6715132,0.7027027027027027,gumbel_soft
65,0.5374138,train,0.52872795,0.762987012987013,gumbel_soft
65,0.5374138,val,0.87856555,0.6097560975609756,gumbel_soft
65,0.5374138,test,0.5534804,0.6756756756756757,gumbel_soft
66,0.5379412,train,0.46956334,0.8084415584415584,gumbel_soft
66,0.5379412,val,0.79693013,0.6585365853658537,gumbel_soft
66,0.5379412,test,0.6003297,0.6216216216216216,gumbel_soft
67,0.5855118,train,0.5510621,0.7662337662337663,gumbel_soft
67,0.5855118,val,1.2138982,0.5609756097560976,gumbel_soft
67,0.5855118,test,1.0751348,0.6216216216216216,gumbel_soft
68,0.66766447,train,0.49051788,0.8051948051948052,gumbel_soft
68,0.66766447,val,0.888151,0.6097560975609756,gumbel_soft
68,0.66766447,test,0.8289732,0.6486486486486487,gumbel_soft
69,0.554111,train,0.5134778,0.7727272727272727,gumbel_soft
69,0.554111,val,1.0215784,0.5853658536585366,gumbel_soft
69,0.554111,test,0.8319524,0.7297297297297297,gumbel_soft
70,0.49284112,train,0.5073185,0.801948051948052,gumbel_soft
70,0.49284112,val,0.91666484,0.5365853658536586,gumbel_soft
70,0.49284112,test,0.62160367,0.7027027027027027,gumbel_soft
71,0.48777384,train,0.4357666,0.8051948051948052,gumbel_soft
71,0.48777384,val,0.7117903,0.7317073170731707,gumbel_soft
71,0.48777384,test,0.59150326,0.5945945945945946,gumbel_soft
72,0.42269215,train,0.45290214,0.7857142857142857,gumbel_soft
72,0.42269215,val,0.88242555,0.6097560975609756,gumbel_soft
72,0.42269215,test,0.74476683,0.7027027027027027,gumbel_soft
73,0.45658126,train,0.47459835,0.7824675324675324,gumbel_soft
73,0.45658126,val,0.879321,0.6829268292682927,gumbel_soft
73,0.45658126,test,0.752215,0.7297297297297297,gumbel_soft
74,0.6325271,train,0.56171215,0.7694805194805194,gumbel_soft
74,0.6325271,val,0.7387684,0.7317073170731707,gumbel_soft
74,0.6325271,test,0.5539013,0.7837837837837838,gumbel_soft
75,0.5238369,train,0.59445965,0.75,gumbel_soft
75,0.5238369,val,0.894033,0.6585365853658537,gumbel_soft
75,0.5238369,test,0.4932587,0.7837837837837838,gumbel_soft
76,0.53804725,train,0.5478963,0.7467532467532467,gumbel_soft
76,0.53804725,val,0.6745752,0.7317073170731707,gumbel_soft
76,0.53804725,test,0.86606324,0.6216216216216216,gumbel_soft
77,0.5203297,train,0.40755925,0.8214285714285714,gumbel_soft
77,0.5203297,val,0.7148771,0.7804878048780488,gumbel_soft
77,0.5203297,test,0.6398624,0.7027027027027027,gumbel_soft
78,0.49388486,train,0.5478808,0.762987012987013,gumbel_soft
78,0.49388486,val,0.9677425,0.6097560975609756,gumbel_soft
78,0.49388486,test,0.64970076,0.7027027027027027,gumbel_soft
79,0.4377121,train,0.41736814,0.8409090909090909,gumbel_soft
79,0.4377121,val,1.0222261,0.6097560975609756,gumbel_soft
79,0.4377121,test,0.5160325,0.7837837837837838,gumbel_soft
80,0.64523304,train,0.5250783,0.7694805194805194,gumbel_soft
80,0.64523304,val,0.8334072,0.7317073170731707,gumbel_soft
80,0.64523304,test,0.87102765,0.6486486486486487,gumbel_soft
81,0.49112168,train,0.4800414,0.7857142857142857,gumbel_soft
81,0.49112168,val,0.61713976,0.7804878048780488,gumbel_soft
81,0.49112168,test,0.6623299,0.6486486486486487,gumbel_soft
82,0.43256697,train,0.47073364,0.7824675324675324,gumbel_soft
82,0.43256697,val,0.8683816,0.7073170731707317,gumbel_soft
82,0.43256697,test,0.5330585,0.7297297297297297,gumbel_soft
83,0.53298134,train,0.38755587,0.8246753246753247,gumbel_soft
83,0.53298134,val,0.73953885,0.6585365853658537,gumbel_soft
83,0.53298134,test,0.5938818,0.6486486486486487,gumbel_soft
84,0.68612546,train,0.41258776,0.8311688311688312,gumbel_soft
84,0.68612546,val,0.67645437,0.7073170731707317,gumbel_soft
84,0.68612546,test,0.5820169,0.7297297297297297,gumbel_soft
85,0.39833322,train,0.52318496,0.7694805194805194,gumbel_soft
85,0.39833322,val,0.9049624,0.6341463414634146,gumbel_soft
85,0.39833322,test,0.61324507,0.6756756756756757,gumbel_soft
86,0.48055586,train,0.4988128,0.7792207792207793,gumbel_soft
86,0.48055586,val,1.1081488,0.6097560975609756,gumbel_soft
86,0.48055586,test,0.46690577,0.7837837837837838,gumbel_soft
87,0.43699202,train,0.6627828,0.7467532467532467,gumbel_soft
87,0.43699202,val,0.9963843,0.6585365853658537,gumbel_soft
87,0.43699202,test,0.66737175,0.7567567567567568,gumbel_soft
88,0.47509703,train,0.54231185,0.7694805194805194,gumbel_soft
88,0.47509703,val,0.77204925,0.6341463414634146,gumbel_soft
88,0.47509703,test,0.5986184,0.6756756756756757,gumbel_soft
89,0.5210597,train,0.4933772,0.788961038961039,gumbel_soft
