feature,value,0,1,2,3,4,5,<s>
attn_0_5_outputs,0,0.23993348,-0.65093195,-0.4773969,-0.12534454,-0.7727968,0.022463609,1.028049
attn_0_5_outputs,1,-0.29026985,3.5892978,-1.2505999,-0.345292,-2.3037815,-0.18644331,-3.0715861
attn_0_5_outputs,2,-0.78681356,-2.5179212,2.554264,-0.79408884,-3.0312085,-0.7288256,3.421746
attn_0_5_outputs,3,0.00092680386,-1.4022597,-0.8598643,-0.1733487,-0.3773008,0.28668144,0.5657768
attn_0_5_outputs,4,0.19179569,-1.472052,-1.2826564,0.30832744,3.2274137,0.3516995,-2.4616663
attn_0_5_outputs,5,0.25774288,-0.40259752,1.0040565,0.67120135,-1.0516564,0.34877202,0.52713835
attn_0_5_outputs,<pad>,-0.4923252,-0.1710756,0.12611488,-0.09166592,-0.5407559,-0.272538,0.20128116
attn_0_5_outputs,<s>,0.42796034,-1.6002492,-0.6910376,0.08667874,-1.787917,0.19905052,3.1120203
attn_0_6_outputs,0,-0.93969923,0.93114763,0.8060239,0.91824275,0.58497745,0.7663736,-1.7050788
attn_0_6_outputs,1,0.28649992,-1.5103606,0.38225785,0.24195433,0.11891083,0.5875528,0.2765149
attn_0_6_outputs,2,0.13771483,0.55281913,-1.4369708,0.2028501,-0.076237716,0.12496261,0.04046911
attn_0_6_outputs,3,0.4579797,0.5395995,0.68631905,-1.6110786,0.064026736,0.4521586,0.27192292
attn_0_6_outputs,4,0.07797034,0.47825328,0.1986016,0.24512713,-1.6113662,0.20948373,0.10212999
attn_0_6_outputs,5,0.40551025,0.939298,0.4995748,0.49182788,0.40199727,-1.3823301,0.70985013
attn_0_6_outputs,<pad>,-0.96482563,-0.120944135,-0.22288397,-0.5334077,-0.48836818,0.010497661,0.63381
attn_0_6_outputs,<s>,0.58827364,0.75078803,0.6463953,0.5290409,0.73678505,0.6388317,-1.7956926
attn_0_7_outputs,0,-0.26206526,-0.05491509,0.073729165,-0.40962046,-0.055909786,-0.15778527,0.25239116
attn_0_7_outputs,1,0.021668922,0.030349841,0.034279168,0.09146622,0.13534342,-0.034587447,0.51783943
attn_0_7_outputs,2,0.3517721,-0.05456137,-0.26949564,0.018585794,0.25812346,-0.096788816,0.061391793
attn_0_7_outputs,3,0.26233563,0.29286185,0.31241918,1.3578632,0.31876794,0.3014313,-3.5294533
attn_0_7_outputs,4,0.3195421,0.5498492,-0.09907007,-0.045252886,0.35668302,0.013136929,-0.3556731
attn_0_7_outputs,5,0.2145945,0.06422175,-0.027278678,-0.25934985,0.14193486,-0.31735876,0.23619935
attn_0_7_outputs,<pad>,-0.29981396,-0.41329205,0.086367354,0.037894186,0.1890241,0.19897537,-0.5155697
attn_0_7_outputs,<s>,0.44163305,0.15918824,0.16448794,-6.4718165,0.35403857,0.167336,4.838156
attn_1_0_outputs,0,0.17536259,-0.2753729,-0.018576104,0.2860387,-0.04893619,-0.7955454,1.2905506
attn_1_0_outputs,1,-0.007480701,0.21398875,0.0074137924,-0.16179682,0.56133485,-0.48358664,-0.94314355
attn_1_0_outputs,2,0.13596208,-0.6916827,0.50543666,0.014967662,-0.22988695,-0.458087,-0.27146512
attn_1_0_outputs,3,-0.40103436,-0.006838061,-0.07062825,-0.13225904,0.04113587,-0.007119456,0.17808358
attn_1_0_outputs,4,-0.14251392,-0.36042425,-0.16591547,-0.15919967,0.9507663,0.12550831,-1.255594
attn_1_0_outputs,5,0.8325114,3.4392848,0.5957146,0.37479752,-2.7222576,0.5092655,-1.5884916
attn_1_0_outputs,<pad>,-0.37165967,0.0017649619,-0.12817098,-0.10891619,-0.8777455,0.5609536,0.22080503
attn_1_0_outputs,<s>,0.14560567,-0.8499815,0.6193737,0.30018747,-1.590201,0.54339516,3.18875
